,Body
27,1) در فهرست نامه ها، در قسمت فرستنده، کلمه ي مشتري درج مي شود و اسم مشتري را نمي آورد. حتما بايد وارد تيکت شويم. 2) با ارسال پاسخ، فرم بسته مي شود. براي بيتن تيکت بايد مجدد وارد شويم و بستن اين نامه را بزنيم. همچنين با زدن بستن اين نامه، از کارتابل خارج نمي شود و نياز به رفرش کردن دارد. 3) در ثبت تيکت توسط مشتري، همه ي موضوعات کار مي آيد (درخواست قفل و ... ). 4) يک گزارش براي تيکت هاي بدون پاسخ از سمت ما داشته باشيم.
2060,2 کار به شماره: 1. مربوط به سازمان حج 251920 2. مربوط به شرکت ليان سيستم 251921 از اولويت برخوردارند که در اسرع وقت بايد انجام گرددند.
2211,گروه موضوع تماس موضوع تماس زيرموضوع تماس فروش نرم افزار ويندوز درخواست کد دمو درخواست ارسال دمو نصب دمو پرسش درباره امکانات درخواست پيش فاکتور درخواست فاکتور فاکتور رسمي فاکتور غير رسمي درخواست اعلام شماره حساب ساير درخواست دموي حضوري درخواست دموي آنلاين درخواست صحبت با ساير واحدها درخواست ارتقا درخواست کاربر شبکه درخواست قفل درخواست قفل دوم درخواست تبديل قفل تک کاربره به شبکه درخواست اعمال تخفيف درخواست معرفي نماينده درخواست نمايندگي درخواست ارسال نرم افزار تيپاکس پست پيک ساير فروش نرم افزار وب درخواست ارسال دمو درخواست دموي حضوري درخواست دموي آنلاين پرسش درباره امکانات درخواست پيش فاکتور درخواست فاکتور فاکتور رسمي فاکتور غير رسمي درخواست اعلام شماره حساب درخواست ارسال پيش نويس قرارداد ساير درخواست صحبت با ساير واحدها درخواست ارتقا درخواست کاربر شبکه درخواست قفل وب درخواست دفتر مالي جديد درخواست سربرگ جديد درخواست ميزباني سرور درخواست اعمال تخفيف درخواست معرفي نماينده درخواست ارسال قفل تيپاکس پست پيک ساير موارد ديگر پيشنهاد انتقاد شکايت ارجاع به واحد ديگر
2223,اتوماسيون اداري و CRM امروز دوشنبه از ساعت 13 تا 13:30 به دليل به روز رساني قابل استفاده نمي‌باشد. با تشکر.
2244,با سلام و احترام ا ي ن نامه را قبلا به شما ارسال کرده ام و فا ي ل ضم ي مه شده مربوط به کتاب مد ي ر ي ت پندار است . البته قرار بود بعد از مطالعه و بررس ي کتاب توسط آقا ي خباز ي ، در صورت وجود اشتباه در کتاب،به بنده اطلاع داده شود و بعد از رفع ا ي رادها ي موجود کتاب نسخه نها يي شود . ( مخصوصا در شکل ها ). ا ي رادها ي بخش مد ي ر ي ت ن ي ز در ي ک فا ي ل جداگانه ا ي به شما ارسال کرده ام . که قرار شد بعد از ا ي نکه گروه برنامه نو ي س ي کارشون سبک شد، اقدام به رفع ا ي رادها ي اشاره شده در فايل نمايند . در صورت امکان بعد از رفع ايرادات به بنده اطلاع دهيد تا شکل هاي لازم را در کتاب به روز رساني کنم . با تشکر
2248,با سلام و احترام اين فايل مربوط به مواردي است که بايستي در بخش مديريت پندار اصلاح شود .
2251,"بسمه تعالي شرح وظايف کارشناس پشتيباني سيستم هاي تحت ويندوز 1) حضور به موقع در محل شرکت و پشت ميز جهت پاسخگويي و انجام امور محوله . 2) تسلط کامل به تمامي قابليتها، حالتهاي خاص، تبصره ها، وظايف سيستمي و ... نرم افزار پنجره . 3) تسلط کامل به تمامي قابليتها، حالتهاي خاص، تبصره ها، وظايف سيستمي و ... نرم افزار پايشگر . 4) تسلط کامل به تمامي قابليتها، حالتهاي خاص، تبصره ها، وظايف سيستمي و ... نرم افزار صندوقچه . 5) آموزش نرم افزار ها به کاربران مشتري در محل شرکت يا محل کاربر مطابق برنامه ي از پيش تعيين شده . 6) ارتباط مستمر با مشتريان جديد جهت پيگيري فرآيند پيشرفت کار و اعلام نکات و برقراري جلسات آموزشي . 7) پاسخگويي به سوالات مطرح شده توسط مشتري و راهنمايي وي بصورت تلفني، ريموت يا مراجعه ي حضوري . 8) تکميل فرم ارائه ي خدمات و امضاي آن توسط مشتري هنگام انجام هرنوع خدمات حضوري براي مشتري . 9) بررسي اشکالات مطرح شده توسط مشتري و اعلام نتيجه ي کار به وي . 10) ارجاع اشکالات موضوع بند قبل به واحد فني با تعيين اولويت، در مواردي که کارشناس به نتيجه نرسيده است . 11) پيگيري موضوع اشکالات ارجاع شده به واحد فني با توجه به اولويت تعيين شده . 12) ثبت تماس مشتريان براساس طبقه بندي صحيح در سيستم CRM . 13) ايجاد کار براي مشتريان در CRM و در موضوع صحيح در صورتيکه تماس آنها منجر به يک کار شود . 14) تسلط کامل به تمامي خطاهاي سيستمي ( فني ) و خطاهاي نرم افزار و همچنين پيغام هاي سيستم و تهيه ي فهرستي از خطاها به همراه علت و راه حل و ... بصورت مجتمع و به اشتراک گذاشتن آنها . 15) ثبت سوالات پرتکرار يا پرکاربرد و همچنين خطاهاي موضوع بند قبلي به همراه پاسخها در سيستم پرسش و پاسخ . 16) دريافت پيشنهادات و درخواستهاي مشتريان با تعيين اولويت و پيگيري از مدير واحد جهت اعلام نتيجه به مشتري . 17) پيگيري مستمر اشکالات و درخواستهاي باز مشتري تا حصول نتيجه، تحويل به مشتري و بسته شدن کار . 18) ارسال ورژن براي مشترياني که اشکال يا درخواستشان در ورژن انجام شده و پيگيري از مشتري بابت وصول و نصب ورژن . 19) نصب نرم افزار براي مشتري براساس نوع نياز ( تک کاربره، سرور، کلاينتها، قفل شبکه و ...) براساس چک ليست . 20) تسلط به تمامي ابزارهايي که در نصب و راه اندازي و پشتيباني نرم افزار نقش دارند، نظير SQL Server ، شبکه، موانع شبکه، تنظيمات قفل، سرويسهاي قفل شبکه و ... . 21) تهيه ي محتواي آموزشي شامل چک ليستهاي عملياتي، فايلهاي متني آموزشي، فيلم هاي آموزشي و ... . 22) بروزرساني محتواهاي آموزشي براساس آخرين تغييرات سيستمي . 23) کسب اطلاع از آخرين تغييرات سيستم جهت تکميل دانش شخصي و راهنمايي مشتريان با توجه به آخرين تغييرات . 24) تهيه ي فهرستي از تغييرات سيستم جهت اعلام به مشتري و تهيه ي آرشيو . 25) تست ورژن هاي نرم افزار باتوجه به بخشهايي که تغييرات درآن اعمال شده است و بخشهاي متأثر مطابق سناريوي تست . 26) تست کلي سيستم شامل ثبت و ويرايش کليه ي فرم ها و دريافت گزارشات سيستم قبل از ارسال هر ورژن براي مشتري . 27) تست نرم افزار بصورت جامع در بازه هاي زماني بصورت جزء به جزء جهت بررسي اشکالات احتمالي بر اساس چک ليست . 28) مراجعه ي حضوري در محل مشتري در صورتيکه مشکل مشتري بصورت تلفني يا ريموت حل نشود و يا به هردليل ديگري که مدير واحد تشخيص بدهد بايد مراجعه ي حضوري صورت پذيرد . 29) ثبت کار در CRM با تعيين نوع "" حضور در محل مشتري "" در مواردي که نياز به حضور درمحل مشتري وجود داشته باشد . 30) تماس دوره اي با مشتريان جهت حفظ ارتباط مستمر و همچنين دريافت درخواستها، اشکالات و پيشنهادات از مشتري و همچنين معرفي محصولات جديد شرکه به مشتريان . 31) مرتب نمودن ميز کار و محيط کاري بصورت نسبي در ساعات کاري و بصورت کامل پس از پايان ساعات اداري . 32) ارتباط مناسب با همکاران از نظر روابط شخصي و گفتگوها، اشتراک تجربيات، کمک رساني و راهنمايي در مواقع لزوم و ... . 33) تسلط کامل به مفاهيم حسابداري، بهاي تمام شده، انبار، حقوق و دستمزد، مفاهيم مالياتي و بيمه، توليد و ... . 34) تسلط کامل به کليه ي اسناد حسابداري حاصله از تمامي عملياتهاي سيستم . 35) تسلط نسبي به نرم افزار آفيس . 36) تسلط نسبي به شبکه، برقراري شبکه بين چند کامپيوتر و تنظيمات آن در حيطه ي کاري . 37) تسلط نسبي به ويندوز، کليدهاي ميانبر، تايپ سريع و ... . 38) تسلط نسبي به محيط SQL Server و جداول اطلاعات . 39) تسلط به سيستم اتوماسيون اداري و CRM به عنوان ابزار کار . 40) ارائه ي گزارش روزانه به مدير واحد پشتيباني مبني بر امور انجام شده در طول روز مطابق فرمت مورد نظر و همچنين گزارشي جهت اعلام وضعيت کارهاي باز، درخواستها و اشکالات اعلام شده از طرف مشتريان، اشکالات و پيشنهادات خود کارشناس، پيگيري مشتريان ناراضي، مشکلات اساسي سيستم ها و ... ."
2252,بسمه تعالي با سلام فهرست زير، وضعيت هايي است که در حال حاضر در سيستم اتوماسيون براي کارها وجود ندارد . اما در روال کاري ما وجود دارد . البته امکان تجميع برخي با هم هست که در يک جلسه ي حضوري قابل بررسي است . * جهت تعيين زمان ---- منظور همان ابتدا براي پيگيري ها * جهت تست اوليه ---- منظور تست اوليه بر روي سيستم برنامه نويس ( از فني به پشتيباني ) * جهت رفع اشکال ( از تست ) ---- منظور اشکالات تست بر روي سيستم برنامه نويس ( از پشتيباني به فني ) * جهت اعمال در سورس ----- يعني تست بر روي سيستم برنامه نويس تمام و درست است ( از پشتيباني به فني ) * جهت تست بر روي ورژن ---- پابليش ساخته شده و تست شود . * جهت رفع اشکال ( از ورژن ) ---- کار بر روي پابليش اشکال دارد ( بر روي سورس اشکال نداشته ) * پايان کار فني ---- اشکالات پابليش هم رفع و پابليش آخر درست است و کار در بخش برنامه نويسان تمام شده . ( از فني به پشتيباني ) * منتظر ورژن ---- کاري که تمام شده براي اعمال نياز به ورژن دارد . تا زمان تحويل ورژن در اين وضعيت مي ماند . ( از پشتيباني به پشتيباني ) * منتظر اعمال ديتا ---- کاري که تمام شده براي اعمال نياز به اجراي اسکريپت و ... دارد و ورژني نيست . تا زمان اعمال اسکريپت در اين وضعيت مي ماند .
2253,"بسمه تعالي شرح وظايف کارشناس پشتيباني نرم افزار سازمان الکترونيک پندار ( اتوماسيون اداري - ارتباط با مشتريان - فرم ساز - طراح گردش کار - گزارش ساز) حضور به موقع در محل شرکت و پشت ميز و يا محل تعيين شده توسط شرکت در پروژه ها جهت پاسخگويي و انجام امور محوله. تسلط کامل به تمامي قابليتها، حالتهاي خاص، تبصره ها، وظايف سيستمي و ... نرم افزار پندار (اتوماسيون اداري) تسلط کامل به تمامي قابليتها، حالتهاي خاص، تبصره ها، وظايف سيستمي و ... نرم افزار پل (ارتباط با مشتريان) تسلط کامل به تمامي قابليتها، حالتهاي خاص، تبصره ها، وظايف سيستمي و ... نرم افزار فرم ساز - گردش کار و گزارش ساز آموزش و استقرار نرم افزار ها به کاربران مشتري در محل شرکت يا محل مشتري ارتباط مستمر با مشتريان جديد جهت پيگيري فرآيند پيشرفت کار و اعلام نکات و برقراري جلسات آموزشي. پاسخگويي به سوالات مطرح شده توسط مشتري و راهنمايي وي بصورت تلفني، اينترنتي يا مراجعه ي حضوري. بررسي اشکالات مطرح شده توسط مشتري و اعلام نتيجه ي کار به وي. ارجاع اشکالات موضوع بند قبل به واحد فني با تعيين اولويت، در مواردي که کارشناس به نتيجه نرسيده است. پيگيري موضوع اشکالات ارجاع شده به واحد فني با توجه به اولويت تعيين شده. ثبت تماس مشتريان براساس طبقه بندي صحيح در سيستم CRM. ايجاد کار براي مشتريان در CRM در صورتيکه تماس آنها منجر به يک کار شود. تسلط کامل به تمامي خطاهاي سيستمي (فني) و خطاهاي نرم افزار و همچنين پيغام هاي سيستم و تهيه ي فهرستي از خطاها به همراه علت و راه حل و ... بصورت مجتمع و به اشتراک گذاشتن آنها. ثبت سوالات پرتکرار يا پرکاربرد و همچنين خطاهاي موضوع بند قبلي به همراه پاسخها در سيستم پرسش و پاسخ. دريافت پيشنهادات و درخواستهاي مشتريان با تعيين اولويت و پيگيري از مدير واحد جهت اعلام نتيجه به مشتري. پيگيري مستمر اشکالات و درخواستهاي باز مشتري تا حصول نتيجه، تحويل به مشتري و بسته شدن کار. به روز رساني نرم افزار براي مشترياني که اشکال يا درخواستشان در نسخه جديد انجام شده و پيگيري از مشتري بابت انجام شدن کار . تهيه ي محتواي آموزشي شامل چک ليستهاي عملياتي، فايلهاي متني آموزشي، فيلم هاي آموزشي و ... . بروزرساني محتواهاي آموزشي براساس آخرين تغييرات سيستمي. کسب اطلاع از آخرين تغييرات سيستم جهت تکميل دانش شخصي و راهنمايي مشتريان با توجه به آخرين تغييرات. تهيه ي فهرستي از تغييرات سيستم جهت اعلام به مشتري و تهيه ي آرشيو. تست ورژن هاي نرم افزار باتوجه به بخشهايي که تغييرات درآن اعمال شده است و بخشهاي متأثر مطابق سناريوي تست. تست کلي سيستم شامل ثبت و ويرايش کليه ي فرم ها و دريافت گزارشات سيستم قبل از ارسال هر ورژن براي مشتري. تست نرم افزار بصورت جامع در بازه هاي زماني بصورت جزء به جزء جهت بررسي اشکالات احتمالي بر اساس چک ليست. )مراجعه ي حضوري در محل مشتري در صورتيکه مشکل مشتري بصورت تلفني يا اينترنتي حل نشود و يا به هردليل ديگري که مدير واحد تشخيص بدهد ثبت کار در CRM با تعيين نوع "" حضور در محل مشتري "" در مواردي که نياز به حضور درمحل مشتري وجود داشته باشد. تماس دوره اي با مشتريان جهت حفظ ارتباط مستمر و همچنين دريافت درخواستها، اشکالات و پيشنهادات از مشتري و همچنين معرفي محصولات جديد شرکت به مشتريان. مرتب نمودن ميز کار و محيط کاري بصورت نسبي در ساعات کاري و بصورت کامل پس از پايان ساعات اداري . ارتباط مناسب با همکاران از نظر روابط شخصي و گفتگوها، اشتراک تجربيات، کمک رساني و راهنمايي در مواقع لزوم و ... . تسلط نسبي به نرم افزار آفيس. تسلط نسبي به شبکه در حيطه ي کاري . تسلط نسبي به ويندوز، کليدهاي ميانبر، تايپ سريع و ... . تسلط کامل به تنظيمات مرورگرها، اعلانها، مديريت حافظه ي مرورگر، تنظيمات چاپ و ... . تسلط به سيستم اتوماسيون اداري و CRM به عنوان ابزار کار. ارائه ي گزارش روزانه به مدير واحد پشتيباني جهت اعلام وضعيت کارهاي باز، درخواستها و اشکالات اعلام شده از طرف مشتريان، اشکالات و پيشنهادات خود کارشناس، پيگيري مشتريان ناراضي، مشکلات اساسي سيستم ها و ... . مشتري سرمايه شرکت مي باشد ، رعايت ادب و احترام در تماسهاي تلفني و حضوري در اولويت قرار دارد و در صورت عدم رعايت موارد فوق طبق آيين نامه داخلي شرکت عمل مي گردد. پر کردن فرم ارائه خدمات به مشتري و تاييديه فرم توسط مشتري الزامي مي باشد."
2259,"1 در فرم تماس، وقتي با تب پيش مي رويم، به روي موضوعات نمي رود. 2 در فرم تماس، قسمت هاي مرتبط با کار و فرصت مخفي شود . 3 در فرم تماس، زمان تبديل تماس به کار، شرح منتقل نمي شود 4 فايندر "" نوع درخواستها "" با توجه به تغييرات جديد و دسته بندي کارها، در تبديل تماس به کار کاربردي ندارد و خالي رد مي شود. 5 فرم ثبت کار عادي با ثبت کار از تماس متفاوت است . 6 شرح تماس ها در ليست تماس هاي کلي قابل مشاهده نيست . در پرونده ي مشتري نيز، حتماً بايد روي تماس دبل کليک کنيم تا شرح را بياورد. 7 تعليق پشتيباني براي موارد اتمامي و تبديل نرم افزار – مانند کنون و ليان و ... 8 مشکل پاک کردن پشتيباني براي مدرن . 9 کارها داخل مکاتبات مي آيد . پيدا کردن را سخت مي کند . 10 در قسمت مکاتبات و کارهاي پرونده مشتري، جستجو کار نمي کند . 11 جستجو بر اساس شرح هاي کار انجام نمي شود . 12 وضعيت هاي کار که قبلاً اعلام شده است. 13 کارهايي که از روي تماس ايجاد مي شوند، در عنوان کار، نوع کار درج نمي گردد ."
2260,بسمه تعالي مديريت محترم جناب آقاي صفري با سلام احتراماً به استحضار مي رساند، خانم حسني در مدت حضورشان در شرکت مراحل آموزش را به خوبي پشت سر گذاشته و کارهاي مربوط به تست نرم افزار، پاسخگويي تلفني به مشتريان، بررس اطلاعات کاربران و ... را نسبتاً خوب انجام مي دهند. البته طبيعي است که هنوز به همه ي قسمتها مسلط نيستند و در موارد متعددي به سوال و اشکال برخورد مي کنند که به مرور و با سوال کردن، برطرف مي شود. درخصوص نحوه ي بيان و تعامل با مشتري نيز با توجه به سابقه ي کاري مشابه، عملکرد خوبي دارند. از برخي مشتريان که با خانم حسني تماس داشتند نيز استعلام گرفتم که نسبتاً رضايت داشتند. بطور نمونه شرکت اشميت، سيب طلايي و ليان.
2264,1- صفحه ورد روي برنامه باز شود 2- در هنگام چاپ تنظيمات سربرگ و امضا و ... کار نميکند ( فقط يه حالت همه موارد وجود دارد در چاپ ) 3- گزينه ‎ save as ? در موقع بست ن نامه در حالت ‎ read only ? باز مي شود 4- آفيس 2016 آفيس 2013 آفيس 2010 آفيس 2007 آفيس 2016 ok ok ok ok آفيس 2013 Ok ok ok ok آفيس 2010 ok ok ok ok آفيس 2007 ايراد دارد ايراد داره ايراد داره ok از بالا به پايين بررسي شده
2266,با سلام و احترام در صورت امکان، تقاضا دارم جلسه اي به منظور پاسخگويي به سوالات بنده در خصوص سازمان الکترونيک پندار برقرار شود. با تشکر زهرا محرمي
2270,بسمه تعالي مديريت محترم جناب آقاي صفري با سلام احتراماً خواهشمند است درخصوص اينکه براي مشتريان جديد، اطلاعاتي که برايشان قرار ميدهيم، اطلاعات پايه ي دستمزد (بر مبناي اطلاعات سيب طلايي)، گروههاي حساب، کدينگ حسابها و ... بصورت پيش فرض وجود داشته باشد، دستورات لازم را مبذول فرماييد. باتشکر
2271,بسمه تعالي مديريت محترم جناب آقاي صفري باسلام احتراماً با توجه به اينکه در سيستم خزانه داري، هنگام ثبت اطلاعات اول دوره ي خزانه داري از سال قبل، موجودي تنخواه منتقل نمي شود (بطور ناقص و فقط بر اساس تراکنش هاي انتقال وجه منتقل مي شود )، و اين موضوع سال گذشته هم اعلام شد اما به دليل عدم تعيين تکليف به موقع و شروع به کار شرکت ها در سال 95، معلق ماند، و امثال نيز همان استدلالهاي سال گذشته براي عدم انتقال مطرح مي شود، خواهشمند است تکليف اين موضوع را به روشني تبيين نموده تا سال آينده مثل امثال شرمنده ي مشتريان نشويم و مجدداً همين نامه نگاري در فروردين سال 97 اتفاق نيافتد. از اين بگذريم که چرا اعلام اين اشکال واضح از سمت بنده به عنوان مثلاً مدير پشتيباني بي اعتبار و غيرقابل بررسي است.
2273,گزارش روزانه 29/01/96 به پيوست تقديم گرديد.
2274,عنوان نامه: گزارش کار 31/01/1396 نام کارشناس عنوان فايل پيوست: TS 960131 Bagheri
2283,' گزارش تست قسمتي از خزانه داري به پيوست ارسال گرديد.
2296,با سلام و احترام لطفا در صورت امکان جلسه اي براي پاسخگويي به سوالات بنده در خصوص سازمان الکترونيک پندار ترتيب داده شود. با تشکر
2310,با سلام لطفاً براي بعثه، پيش فاکتور تمديد پشتيباني براي موارد زير ارسال نماييد: مجموعه سيستم هاي مالي: 174.000.000ريال سيستم بازرسي 17.500.000ريال سيستم بسته فرهنگي 57.500.000ريال سيستم حضور و غياب 11.250.000ريال سيست رابطين فرهنگي 13.125.000ريال در مجموع: 273.375.000ريال
